036.1.06030.04.0;Sanitaires clients indépendants - Ecot;AR;Aire de repos;ECOT;Ecot;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Belfort Montbeliard;RDC;10.0;;;;;;;;;;;47.443298340000005;6.72821999
031.2.10300.02.0;Sanitaires clients indépendants - Langres - Perrogney;AS;Aire de service;LAPR;Langres - Perrogney;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Champagne;RDC;10.0;;;;;;;;;;;47.81323599999999;5.221875999999999
040.2.16340.02.0;Sanitaires clients indépendants - Bourg Teyssonge;AS;Aire de service;BOTE;Bourg Teyssonge;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Ain;RDC;22.0;;;;;;;;;;;46.20137200999999;5.294080144
077.1.04519.02.0;Sanitaires clients indépendants - Le Jardin des Arbres;AS;Aire de service;LJDA;Le Jardin des Arbres;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Gâtinais;RDC;10.0;;;;;;;;;;;47.850695019999996;2.6857447600000004
036.1.06030.05.0;Sanitaires clients indépendants - Ecot;AR;Aire de repos;ECOT;Ecot;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Belfort Montbeliard;RDC;10.0;;;;;;;;;;;47.44298633;6.7295020800000005
006.3.06990.00.0;Locaux techniques - Fontainebleau;GA;Gare;FTBL;Fontainebleau;F;Locaux techniques du réseau;Locaux techniques indépendants ;LTECH;Gâtinais;RDC;15.0;;;;;;;;;;;48.289020383999976;2.683063644
006.3.06990.09.0;Bat exposition - Fontainebleau;GA;Gare;FTBL;Fontainebleau;C;Bâtiments d'exploitation;Bat exposition;BATGEN;Gâtinais;RDC;75.0;;;;;;;;;;;48.28911124999998;2.6824590600000002
006.2.37477.14.0;Locaux techniques - Mâcon - La Salle;AS;Aire de service;MALS;Mâcon - La Salle;F;Locaux techniques du réseau;Locaux techniques indépendants ;LTECH;Val De Saone;RDC;6.0;;;;;;;;;;;46.421381131999986;4.867327791
077.1.01133.00.0;Sanitaires clients indépendants - Le Hêtre Poupre;AR;Aire de repos;LHPO;Le Hêtre Poupre;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Gâtinais;RDC;76.0;;;;;;;;;;;48.137328981999985;2.725017694
719.3.00137.01.0;Siège et annexes - DR PARIS Site de Gannat;DR;Direction régionale;GANN;DR PARIS Site de Gannat;A;Bâtiments administratifs, bureaux et sociaux;Siège et annexes;BATGEN;Auvergne;RDC;792.0;;;;;;;;;;;46.10258082399999;3.1364846270000006
036.2.10520.01.0;Hangar à sel - Pouligney-Lusans;PA;Point d'appui;POLU;Pouligney-Lusans;C;Bâtiments d'exploitation;Hangar à sel;STOCK;Comtois;RDC;0.0;;;;;;;;;;;47.33775460699997;6.210243805000001
005.3.20830.06.0;Hangar à sel - Semoutiers;CE;Centre ou District;CHSE;Semoutiers;C;Bâtiments d'exploitation;Hangar à sel;STOCK;Champagne;RDC;0.0;;;;;;;;;;;48.04244381800001;5.058721951
031.1.10300.02.0;Sanitaires clients indépendants - Langres - Noidant;AS;Aire de service;LNOI;Langres - Noidant;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Champagne;RDC;10.0;;;;;;;;;;;47.81576399999999;5.225775999999999
040.2.16340.05.0;Sanitaires clients indépendants - Bourg Teyssonge;AS;Aire de service;BOTE;Bourg Teyssonge;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Ain;RDC;10.0;;;;;;;;;;;46.201409139999996;5.29401064
077.3.02810.01.0;Bât. bureau GN / BRI - Montargis;CE;Centre ou District;MGIS;Montargis;B;Bâtiments et locaux affectés aux forces de l'ordre;Bât. bureau GN / BRI;BATGEN;Gâtinais;RDC;420.0;RDC+1;65.0;;;;;;;;;47.992768031;2.676288449
005.3.20830.40.0;Locaux techniques - DR RHIN Site de Chaumont;DR;Direction régionale;CHSE;DR RHIN Site de Chaumont;F;Locaux techniques du réseau;Locaux techniques indépendants ;LTECH;Champagne;RDC;10.0;;;;;;;;;;;48.04156155299998;5.057803209
036.1.12860.01.0;Auvents sur sanitaire - Pelousey;AR;Aire de repos;PELS;Pelousey;J;Auvent;Auvents sur sanitaire;AUVENT;Comtois;;;;;;;;;;;;;47.27137654999999;5.928670909999999
031.3.21480.05.1;Garage PL - Allain;CE;Centre ou District;ALLN;Allain;C;Bâtiments d'exploitation;Garage PL;BATGEN;Lorraine;RDC;730.0;;;;;;;;;;;48.53985803299998;5.90686521
006.1.21290.01.0;Sanitaires clients indépendants - La Chaponne;AS;Aire de service;CHAP;La Chaponne;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Morvan;RDC;10.0;;;;;;;;;;;47.502532050000006;4.03843909
